SKU,Product Name,Current FSN,Suggested FSN
"OFF_29","Acrobat DC Pro 2024 PDF Reader & Editor (New) PremiuMSoftware (for Win OR MacOS) | (Pre-Activated) Advanced PDF Tools: Edit, Convert, Sign, Secure | Offline Use | Lifetime Validity | Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_28","Acrobat Pro 2024 Full Version Software for Windows | (Pre-Activated) Advanced PDF Tools: Edit, Convert, Sign, Secure | Offline Use | Included | Lifetime Access | Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_22","AutoCAD (Latest 2026 Edition with Ai) 3-Years Subscription NEW 100% Genuine (3 Users/ 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2, M3, M4) (INCLUDES 24+ Specialized Toolsets, architecture, engineering, Agriculture & more) (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_24","AutoCAD Software 1-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_23","AutoCAD Software 3-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery) Guaranteed Support","NOT SET","MAYA-1YEAR"
"OFF_18","Canva Pro Lifetime Subscription (1 User) | Activates on Your Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_27","Canva Pro Lifetime Subscription (1 User) | Activates on Your Canva Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_26","Gemini Pro Advanced 2.5 (Latest Release) | 15-Month Subscription with Veo 3 Video Generator Access | 2TB Cloud Storage & Gemini 2.5 | GenAI Assistant for Windows/Mac/Mobile/Tablet | Unlimited Deep Research","NOT SET","MAYA-1YEAR"
"OFF_32","Microsoft 365 Enterprise Edition with Copilot Ai | New 2026 Launch | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 5TB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_31","Microsoft 365 Pro Plus with Copilot AI | Latest Release | (upto 5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 100GB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_19","Microsoft Home 2024 for macOS – New 2025 Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Mac Versions | Pre-Activated | Unlimited Reinstalls & Lifetime Updates","NOT SET","MAYA-1YEAR"
"OFF_20","Microsoft Home Suite 2024 for macOS – Latest 2025 Exclusive Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Macs | Pre-Activated | Unlimited Reinstalls & Lifetime Updates (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_4","Microsoft Office 2016 Professional Plus for Windows Retail License Key | (1 User, Lifetime Validity) | Regular Updates & Unlimited Reinstallations | Compatible with Windows 7, 8, 8.1 ,10 (2016 Pro Plus, PC)  (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_2","Microsoft Office 2019 Professional Plus for Windows - Retail License Key | (1 User, Lifetime Validity) | Latest Updated & Unlimited Reinstallations (2019 Pro Plus, PC) Quick Delivery","NOT SET","MAYA-1YEAR"
"OFF_25","Microsoft Office 2019 Professional Plus Retail License Key for Windows (1 User, Lifetime Validity) | Unlimited Reinstallations with Regular Updates (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_9","Microsoft Office 2024 LTSC Standard for macOS Pre-Activated | Lifetime Validity (1 User) | Supports M1, M2, M3, M4 Mac Versions | Unlimited Reinstallations and Regular Updates (2024 Home, Mac) Quick Delivery","NOT SET","MAYA-1YEAR"
"OFF_5","Microsoft Office Microsoft 365 Professional Plus Edition | Latest 2026 Release | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 100GB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_7","Microsoft Office Microsoft Office 2024 LTSC Professional Plus for Windows | Retail License Key (1 User, Lifetime Validity) | Unlimited Reinstallations and Regular Updates (Quick Delivery) (2024 LTSC Pro Plus, PC)","NOT SET","MAYA-1YEAR"
"OFF_8","Microsoft Office Microsoft Professional Plus 2024 & Windows 10/11 Professional COMBO PACK |(1 User,Lifetime Validity) Retail License 32/64 Bit | Unlimited Reinstallations and Regular Updates | Quick Delivery (Windows 10/11 & 2021 Pro Plus (Combo), PC)","NOT SET","MAYA-1YEAR"
"OFF_16","Microsoft Office Professional Plus 2021 | (1 User, Lifetime Validity) Retail License Key - New Version | Lifetime Updates & Reinstallations | Includes Latest Updated Released","NOT SET","MAYA-1YEAR"
"OFF_3","Microsoft Office Professional Plus 2021 for Windows - New 2025 Updated Version | Retail License Key (1 User/PC, Lifetime Validity) | Regular Updates & Unlimited Installations  (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_14","Microsoft Office Professional Plus 2021 & Windows 11 Professional COMBO PACK | (1 User,Lifetime Validity) Retail License 32/64 Bit | Unlimited Reinstallations and Regular Updates | Quick Delivery (Windows 10/11 & 2024 Pro Plus (Combo), PC)","NOT SET","MAYA-1YEAR"
"OFF_35","Microsoft Office Pro Plus LTSC 2024 Full Edition |  (New 2025 Updated) Lifetime Retail Key for Windows (1 PC/User) | Unlimited Installations | Latest Version | Lifetime Updates","NOT SET","MAYA-1YEAR"
"OFF_6","Microsoft OfficeSUITE Copilot 365 Pro Plus | New 2026 Premium Edition | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 100GB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations | Quick Delivery","NOT SET","MAYA-1YEAR"
"OFF_21","Microsoft OfficeSUITE LTSC Professional Plus 2024 | NEW 2026 Update Included | Retail License Key for Windows (1 User/PC, Lifetime Validity) | Unlimited Reinstallations & Regular Updates (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_15","Microsoft Professional Plus 2021 Lifetime | (1 User) Retail License Key | 1 Year Validity | Latest Version | Lifetime Regular Updates & Reinstallations | Latest Updated 2025","NOT SET","MAYA-1YEAR"
"OFF_30","Microsoft Professional Plus 365 Copilot (New 2026 Version) | (5 Devices, Lifetime Validity) Supports Win, MacOS, iOS, Android | 100GB Lifetime Cloud Storage | Lifetime Updates & Reinstallations","NOT SET","MAYA-1YEAR"
"OFF_34","Project Professional 2021 | Retail Product License Key | 1 User/PC/Laptop | Lifetime Validity | Quick Delivery | Unlimited installations with Regular Updates","NOT SET","MAYA-1YEAR"
"OFF_33","Visio 2021 Professional - Retail Product License Key | 1 User/PC/Laptop (Lifetime Validity) | Quick Delivery | Unlimited installations with regular updates","NOT SET","MAYA-1YEAR"
"OFF_11","Windows 10/11 Enterprise Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_12","Windows 10/11 Home Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery) (Windows 10/11 Home, PC)","NOT SET","MAYA-1YEAR"
"OFF_1","Windows 10/11 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 Bit | Unlimited Reinstallations (Quick Delivery) | 2025 Edition","NOT SET","MAYA-1YEAR"
"OFF_10","Windows 10 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery)","NOT SET","MAYA-1YEAR"
"OFF_13","Windows 11 Pro Lifetime Activation Retail License Product Key (1 Device, 32/64 Bit) | Permanent Activation | Reinstallation Supported (100% Genuine)","NOT SET","MAYA-1YEAR"
"OFF_17","Windows 11 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery)","NOT SET","MAYA-1YEAR"
